,ECO Code,ECO Name,Number of Master Games,Number of f6 moves,SF Eval,No f6 Eval,No f6 Delta,Colour
1. e4,B00,King's Pawn Game,1231250,0,28,32,4,C1
1. d4,A40,Queen's Pawn Game,977040,0,30,26,-4,C0
1. d4 Nf6,A45,Indian Defense,593543,0,28,27,-1,C0
1. e4 c5,B20,Sicilian Defense,567659,0,28,37,9,C1
1. e4 c5 2. Nf3,B27,Sicilian Defense,471543,0,34,46,12,C1
1. d4 Nf6 2. c4,A50,Indian Defense: Normal Variation,430747,0,28,27,-1,C0
1. e4 e5,C20,King's Pawn Game,288202,0,27,33,6,C2
1. Nf3,A04,Zukertort Opening,274990,0,24,23,-1,C0
1. e4 e5 2. Nf3,C40,King's Knight Opening,265070,5,31,30,-1,C2
1. d4 d5,D00,Queen's Pawn Game,250179,0,25,27,2,C3
1. e4 e5 2. Nf3 Nc6,C44,King's Knight Opening: Normal Variation,227737,0,22,28,6,C2
1. e4 c5 2. Nf3 d6,B50,Sicilian Defense: Modern Variations,216007,0,37,41,4,C1
1. d4 d5 2. c4,D06,Queen's Gambit,192401,1,24,25,1,C3
1. c4,A10,English Opening,187790,0,17,25,8,C0
1. e4 c5 2. Nf3 d6 3. d4,B50,Sicilian Defense,174595,0,39,46,7,C1
1. e4 c5 2. Nf3 d6 3. d4 cxd4,B50,Sicilian Defense,167833,0,34,49,15,C1
1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6,B54,"Sicilian Defense: Modern Variations, Main Line",160409,0,45,43,-2,C1
1. e4 e5 2. Nf3 Nc6 3. Bb5,C60,Ruy Lopez,149861,0,16,26,10,C2
1. e4 e6,C00,French Defense,146105,0,43,53,10,C2
1. d4 Nf6 2. c4 g6,E60,Indian Defense: West Indian Defense,145160,0,31,54,23,C4
1. d4 Nf6 2. c4 e6 3. Nf3,E10,Indian Defense: Anti-Nimzo-Indian,140401,0,16,19,3,C4
1. d4 Nf6 2. Nf3,A46,Indian Defense: Knights Variation,135485,0,16,24,8,C0
1. e4 e6 2. d4,C00,French Defense: Normal Variation,134713,0,45,51,6,C2
1. e4 e6 2. d4 d5,C00,French Defense,133048,0,41,52,11,C2
1. Nf3 Nf6,A05,Zukertort Opening,128272,0,15,30,15,C0
1. e4 c5 2. Nf3 Nc6,B30,Sicilian Defense: Old Sicilian,127436,0,32,37,5,C1
1. d4 Nf6 2. c4 g6 3. Nc3,E61,King's Indian Defense,117699,0,28,49,21,C4
1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6 5. Nc3 a6,B90,Sicilian Defense: Najdorf Variation,117389,0,43,43,0,C1
1. e4 c5 2. Nf3 e6,B40,Sicilian Defense: French Variation,110118,0,41,54,13,C1
1. e4 e5 2. Nf3 Nc6 3. Bb5 a6,C70,Ruy Lopez: Morphy Defense,107584,0,25,30,5,C2
1. d4 d5 2. c4 c6,D10,Slav Defense,100513,0,26,28,2,C3
1. e4 c6,B10,Caro-Kann Defense,98794,0,38,41,3,C1
1. c4 Nf6 2. Nf3,A15,"English Opening: Anglo-Indian Defense, King's Knight Variation",86333,0,16,26,10,C0
1. d4 Nf6 2. c4 e6 3. Nc3 Bb4,E20,Nimzo-Indian Defense,82282,0,16,19,3,C4
1. Nf3 d5,A06,Zukertort Opening,80615,0,18,18,0,C0
1. e4 c6 2. d4,B12,Caro-Kann Defense,79885,0,40,53,13,C1
1. e4 c5 2. Nf3 e6 3. d4 cxd4,B40,"Sicilian Defense: French Variation, Open",79342,0,43,50,7,C1
1. e4 c6 2. d4 d5,B12,Caro-Kann Defense,77847,0,38,50,12,C1
1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6 5. O-O,C78,Ruy Lopez: Morphy Defense,76809,0,30,35,5,C2
1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4,B32,Sicilian Defense: Open,75281,0,29,26,-3,C1
1. e4 c5 2. Nf3 Nc6 3. d4 cxd4,B32,Sicilian Defense: Open,75130,0,22,25,3,C1
1. e4 c5 2. Nf3 Nc6 3. d4,B32,Sicilian Defense: Open,75023,0,32,22,-10,C1
